Euclidean,1,2,3,4,5,6,7,8,9,10
1,0,692.1578866,3490.25864,205.7502788,346.7188225,512.6122467,444.7310005,566.2019923,1282.770845,307.6691284
2,,0,2798.801053,897.6589863,1038.826888,1204.078199,1136.327344,1257.449528,669.8902282,412.0760772
3,,,0,3695.114191,3836.906638,4002.689083,3934.871559,4056.135573,2294.579642,3195.923901
4,,,,0,142.4388739,309.5063245,241.7301145,363.2628951,1474.945421,504.634116
5,,,,,0,167.1498001,99.54554331,220.9017837,1615.852353,646.9305639
6,,,,,,0,67.91186108,53.78989116,1782.203049,814.0761501
7,,,,,,,0,121.6337204,1715.2532,746.3355586
8,,,,,,,,0,1835.639672,867.8230791
9,,,,,,,,,0,975.3204226
10,,,,,,,,,,0
