Manhattan,1,2,3,4,5,6,7,8,9,10
1,0,15772.6149,20215.64598,9533.170849,5604.200489,3088.054318,1311.039157,471.26572,2369.412159,3349.657086
2,,0,16003.499,7219.196667,10221.031,16105.3475,14909.16951,15434.46004,13950.57595,12776.88307
3,,,0,10690.48433,14613.552,17509.90275,18912.60541,19748.93569,17851.80684,16873.24367
4,,,,0,3935.292667,8896.389208,8228.355075,9065.404333,7168.732964,6190.679312
5,,,,,0,5893.070125,4696.975382,5221.252806,3737.707,2564.170543
6,,,,,,0,1781.822671,2619.811386,2162.802145,3337.746261
7,,,,,,,0,840.7225237,1068.939972,2137.788257
8,,,,,,,,0,1901.208756,2883.734537
9,,,,,,,,,0,1176.450426
10,,,,,,,,,,0
