Euclidean,1,2,3,4,5,6,7,8,9,10
1,0,2219.177277,9948.044078,528.6997575,413.3650612,827.7188857,681.0349895,917.127383,832.1474343,729.0563486
2,,0,7767.945603,2734.049854,2628.49081,3044.477872,2898.712894,3133.46013,1812.454574,1491.357346
3,,,0,10433.06135,10361.36749,10773.53084,10626.4886,10862.96578,9340.275232,9236.840022
4,,,,0,221.372794,375.1561885,249.3791883,457.2596526,1156.583376,1251.158346
5,,,,,0,415.9899852,270.7487916,505.0710666,1171.964206,1137.135266
6,,,,,,0,147.0469739,89.49091655,1529.464012,1553.123807
7,,,,,,,0,236.5146224,1391.550421,1407.4044
8,,,,,,,,0,1613.555789,1642.128687
9,,,,,,,,,0,709.4077856
10,,,,,,,,,,0
