Euclidean,1,2,3,4,5,6,7,8,9,10
1,0,15747.23423,14100.14469,9032.333023,5554.786693,2006.702668,1338.161126,514.6270375,1571.24342,3022.660884
2,,0,11524.50565,6743.8841,10192.52501,14474.55412,14412.05662,15239.87707,14328.22619,12731.39763
3,,,0,9545.879403,10883.38219,12167.79387,13125.351,13684.60676,12643.98564,12006.39462
4,,,,0,3494.222416,7742.628117,7694.276701,8521.197863,7588.40454,6009.820223
5,,,,,0,4452.971685,4219.760574,5047.516256,4167.636533,2542.569354
6,,,,,,0,1405.10908,1637.729438,910.9943878,2124.263362
7,,,,,,,0,827.840658,566.5510174,1684.516012
8,,,,,,,,0,1081.379335,2511.458859
9,,,,,,,,,0,1649.389172
10,,,,,,,,,,0
